recall_id,title,organization,product_name,issue,category,updated_at,data_received_at,issue_category
75630,Accel-Ondansetron ODT 4 & 8 mg: Data integrity concerns with product's bioequivalence data that could lead to incorrect dosing.,Drugs and health products,Accel-Ondansetron ODT 4 & 8 mg,Product quality,,2025-06-18,2025-06-20 15:13:01.237253,Drugs
77621,HeartSine®  Samaritan®  Pads,Medical devices,HeartSine®  Samaritan®  Pads,Performance,,2025-06-18,2025-06-20 15:13:01.237253,Cardiovascular
77622,OptiSite and Fem-Flex II Arterial Perfusion Cannulas,Medical devices,OptiSite and Fem-Flex II Arterial Perfusion Cannulas,Performance,,2025-06-18,2025-06-20 15:13:01.237253,Cardiovascular
77623,Estrone RIA kits,Medical devices,Estrone RIA kits,Performance,,2025-06-18,2025-06-20 15:13:01.237253,Chemistry
77624,Estrone RIA kits,Medical devices,Estrone RIA kits,Performance,,2025-06-18,2025-06-20 15:13:01.237253,Chemistry
77620,Teva-Piroxicam 10 mg capsule; Out of specification (Dissolution),Drugs and health products,Teva-Piroxicam 10 mg capsule,Product quality,,2025-06-18,2025-06-20 15:13:01.237253,Drugs
75644,"Accel-Ondansetron ODT, Mint-Betahistine and PMS-Pirfenidone tablets recalled due to data integrity concerns",Communications and Public Affairs Branch,"All lots of Accel-Ondansetron ODT (4 mg and 8 mg tablets); Mint-Betahistine (8 mg, 16 mg and 24 mg tablets); PMS-Pirfenidone (267 mg and 801 mg tablets)",Product safety,,2025-06-17,2025-06-20 15:13:01.237253,Drugs
77608,Ciao! Baby Portable High Chair recalled due to entrapment hazard ,Consumer product safety,Ciao! Baby Portable High Chair,Entrapment hazard,,2025-06-17,2025-06-20 15:13:01.237253,Household items
77611,Weiteling tablet; Missing medical ingredient Bletilla striata & incorrect expiry date,Drugs and health products,Weiteling tablet,Product quality,,2025-06-17,2025-06-20 15:13:01.237253,Natural health products
77612,"JuHong TanKe JianGao liquid; missing medicinal ingredient ""Glycyrrhiza uralensis"" on label",Drugs and health products,JuHong TanKe JianGao liquid,Product quality,,2025-06-17,2025-06-20 15:13:01.237253,Natural health products
