recall_id,title,organization,product_name,issue,category,updated_at,data_received_at
75630,Accel-Ondansetron ODT 4 & 8 mg: Data integrity concerns with product's bioequivalence data that could lead to incorrect dosing.,Drugs and health products,Accel-Ondansetron ODT 4 & 8 mg,Product quality,Drugs,2025-06-18,2025-06-20 15:13:01.237253
77620,Teva-Piroxicam 10 mg capsule; Out of specification (Dissolution),Drugs and health products,Teva-Piroxicam 10 mg capsule,Product quality,Drugs,2025-06-18,2025-06-20 15:13:01.237253
77621,HeartSine®  Samaritan®  Pads,Medical devices,HeartSine®  Samaritan®  Pads,Performance,Cardiovascular,2025-06-18,2025-06-20 15:13:01.237253
77622,OptiSite and Fem-Flex II Arterial Perfusion Cannulas,Medical devices,OptiSite and Fem-Flex II Arterial Perfusion Cannulas,Performance,Cardiovascular,2025-06-18,2025-06-20 15:13:01.237253
77623,Estrone RIA kits,Medical devices,Estrone RIA kits,Performance,Chemistry,2025-06-18,2025-06-20 15:13:01.237253
77624,Estrone RIA kits,Medical devices,Estrone RIA kits,Performance,Chemistry,2025-06-18,2025-06-20 15:13:01.237253
75644,"Accel-Ondansetron ODT, Mint-Betahistine and PMS-Pirfenidone tablets recalled due to data integrity concerns",Communications and Public Affairs Branch,"All lots of Accel-Ondansetron ODT (4 mg and 8 mg tablets); Mint-Betahistine (8 mg, 16 mg and 24 mg tablets); PMS-Pirfenidone (267 mg and 801 mg tablets)",Product safety,Drugs,2025-06-17,2025-06-20 15:13:01.237253
77608,Ciao! Baby Portable High Chair recalled due to entrapment hazard ,Consumer product safety,Ciao! Baby Portable High Chair,Entrapment hazard,Household items,2025-06-17,2025-06-20 15:13:01.237253
77611,Weiteling tablet; Missing medical ingredient Bletilla striata & incorrect expiry date,Drugs and health products,Weiteling tablet,Product quality,Natural health products,2025-06-17,2025-06-20 15:13:01.237253
77612,"JuHong TanKe JianGao liquid; missing medicinal ingredient ""Glycyrrhiza uralensis"" on label",Drugs and health products,JuHong TanKe JianGao liquid,Product quality,Natural health products,2025-06-17,2025-06-20 15:13:01.237253
75660,Unauthorized sexual enhancement products may pose serious health risks,Communications and Public Affairs Branch,Various unauthorized health products promoted for sexual enhancement,Unauthorized product,Drugs,2025-06-16,2025-06-20 15:13:01.237253
77589,Rust-Oleum Varathane One Step Stain & Polyurethane (Dark Walnut) recalled due to improper labelling ,Consumer product safety,Rust-Oleum Varathane One Step Stain & Polyurethane (Dark Walnut),Labelling and packaging,Chemicals,2025-06-16,2025-06-20 15:13:01.237253
77610,Kimmtrak Solution; Out of specification (in-vitro potency assay),Drugs and health products,Kimmtrak Solution,Product quality,Biologic or vaccine,2025-06-16,2025-06-20 15:13:01.237253
77614,Transport Canada Recall - 2024761 - HONDA,TC,SUV recalled by HONDA,Visual System,SUV - Minivan,2025-06-16,2025-06-20 15:13:01.237253
77615,Transport Canada Recall - 2025275 - MAZDA,TC,Car recalled by MAZDA,Lights And Instruments,Car,2025-06-16,2025-06-20 15:13:01.237253
77616,Transport Canada Recall - 2025306 - FORD,TC,SUV recalled by FORD,Engine,SUV,2025-06-16,2025-06-20 15:13:01.237253
77617,Transport Canada Recall - 2025307 - GENIE INDUSTRIES,TC,Equipment recalled by GENIE INDUSTRIES,Structure,Equipment,2025-06-16,2025-06-20 15:13:01.237253
77618,Transport Canada Recall - 2025309 - KEYSTONE,TC,RV Trailer recalled by KEYSTONE,Accessories,RV Trailer,2025-06-16,2025-06-20 15:13:01.237253
77590,göt2b glued Blasting Freeze Spray recalled due to missing mandatory hazard labelling,Consumer product safety,göt2b glued Blasting Freeze Spray,Flammability hazard - Labelling and packaging,Beauty and personal care,2025-06-13,2025-06-20 15:13:01.237253
77604,Transport Canada Recall - 2025304 - NOVA BUS,TC,Bus recalled by NOVA BUS,Lights And Instruments,Bus,2025-06-13,2025-06-20 15:13:01.237253
77607,Oracare Baby Brush toothbrush recalled from Dollarama due to a potential choking hazard,Communications and Public Affairs Branch,Oracare Baby Brush toothbrush,Product safety - Product quality,Medical devices,2025-06-13,2025-06-20 15:13:01.237253
77619,Braised abalone in brown sauce recalled due to undeclared egg,CFIA,Braised abalone in brown sauce,Egg,Fish and seafood,2025-06-13,2025-06-20 15:13:01.237253
77544,Endless Pools Branded Manual Retractable Pool Covers recalled due to Entrapment and Drowning Hazards ,Consumer product safety,Manual Retractable Pool Covers,Entrapment hazard - Drowning hazard,Outdoor living,2025-06-12,2025-06-20 15:13:01.237253
77573,Bugaboo Giraffe High Chair recalled due to fall hazard ,Consumer product safety,Bugaboo Giraffe High Chair,Fall hazard,Household items,2025-06-12,2025-06-20 15:13:01.237253
77574,"RYOBI branded cordless 24"" hedge trimmer recalled due to potential laceration hazard",Consumer product safety,RYOBI branded 40V cordless 24” hedge trimmer,Laceration hazard,Tools and accessories,2025-06-12,2025-06-20 15:13:01.237253
77585,Yamaha Corporation PA-300C AC Power Adaptors recalled due to burn and fire hazards ,Consumer product safety,Yamaha Corporation PA-300C AC Power Adaptors ,Burn hazard - Fire hazard,Electronics,2025-06-12,2025-06-20 15:13:01.237253
77586,Heyman Follower,Medical devices,Heyman Follower,Labelling and packaging,Gastroenterology and urology,2025-06-12,2025-06-20 15:13:01.237253
77587,Azurion 7 Systems,Medical devices,Azurion 7 Systems,Performance,Radiology,2025-06-12,2025-06-20 15:13:01.237253
77277,DeckWise® Deck & Wood Cleaner recalled due to improper labelling and lack of child-resistant packaging,Consumer product safety,DeckWise® Deck & Wood Cleaner,Labelling and packaging,Chemicals,2025-06-11,2025-06-20 15:13:01.237253
77576,IKEA 365+ VÄRDEFULL Garlic press recalled due to an ingestion hazard ,Consumer product safety,IKEA 365+ VÄRDEFULL Garlic press,Ingestion hazard,Household items,2025-06-11,2025-06-20 15:13:01.237253
77582,MicroMyst applicator and extended tip applicators,Medical devices,MicroMyst applicator and extended tip applicators,Sterility,General hospital and personal use,2025-06-11,2025-06-20 15:13:01.237253
77583,Hamilton-C6 Intensive Care Ventilator,Medical devices,Hamilton-C6 Intensive Care Ventilator,Performance,Anaesthesiology,2025-06-11,2025-06-20 15:13:01.237253
77584,BD FACS™ 7-Color Setup Beads,Medical devices,BD FACS™ 7-Color Setup Beads,Labelling and packaging,Haematology,2025-06-11,2025-06-20 15:13:01.237253
77591,Transport Canada Recall - 2025288 - PACCAR,TC,Truck - Med. & H.D. recalled by PACCAR,Brakes,Truck - Med. & H.D.,2025-06-11,2025-06-20 15:13:01.237253
77592,Transport Canada Recall - 2025290 - FOREST RIVER,TC,School Bus recalled by FOREST RIVER,Structure,School Bus,2025-06-11,2025-06-20 15:13:01.237253
77593,Transport Canada Recall - 2025291 - FIAT CHRYSLER AUTOMOBILES,TC,Minivan recalled by FIAT CHRYSLER AUTOMOBILES,Airbag,Minivan,2025-06-11,2025-06-20 15:13:01.237253
77594,Transport Canada Recall - 2025293 - GENERAL MOTORS,TC,SUV recalled by GENERAL MOTORS,Lights And Instruments,SUV,2025-06-11,2025-06-20 15:13:01.237253
77595,Transport Canada Recall - 2025294 - MAZDA,TC,SUV recalled by MAZDA,Airbag,SUV - Car,2025-06-11,2025-06-20 15:13:01.237253
77596,Transport Canada Recall - 2025295 - TAIGA MOTORS INC.,TC,Snowmobile recalled by TAIGA MOTORS INC.,Brakes,Snowmobile,2025-06-11,2025-06-20 15:13:01.237253
77597,Transport Canada Recall - 2025296 - HONDA,TC,Motorcycle recalled by HONDA,Engine,Motorcycle,2025-06-11,2025-06-20 15:13:01.237253
77598,Transport Canada Recall - 2025297 - DEMERS,TC,Light Truck & Van recalled by DEMERS,Structure,Light Truck & Van,2025-06-11,2025-06-20 15:13:01.237253
77599,Transport Canada Recall - 2025298 - MERCEDES-BENZ,TC,Car recalled by MERCEDES-BENZ,Other,Car - SUV,2025-06-11,2025-06-20 15:13:01.237253
77600,Transport Canada Recall - 2025299 - TEXTRON SPECIALIZED VEHICLES,TC,Restricted-Use Vehicle recalled by TEXTRON SPECIALIZED VEHICLES,Fuel System,Restricted-Use Vehicle,2025-06-11,2025-06-20 15:13:01.237253
77601,Transport Canada Recall - 2025300 - TRIPLE E,TC,Motorhome recalled by TRIPLE E,Electrical,Motorhome,2025-06-11,2025-06-20 15:13:01.237253
77602,Transport Canada Recall - 2025302 - FOREST RIVER,TC,RV Trailer recalled by FOREST RIVER,Structure,RV Trailer,2025-06-11,2025-06-20 15:13:01.237253
77603,Transport Canada Recall - 2025303 - KAWASAKI,TC,Motorcycle recalled by KAWASAKI,Electrical,Motorcycle,2025-06-11,2025-06-20 15:13:01.237253
77605,Transport Canada Recall - 2025305 - RIVIAN,TC,Light Truck & Van recalled by RIVIAN,Seats And Restraints,Light Truck & Van - SUV,2025-06-11,2025-06-20 15:13:01.237253
77138,4 Fr. Single Lumen PowerPICC Catheters,Medical devices,4 Fr. Single Lumen PowerPICC Catheters,Performance,Cardiovascular,2025-06-10,2025-06-20 15:13:01.237253
77571,Rea brand Genoa Salami and Bona brand Genova Salami recalled due to Salmonella,CFIA,"Genoa Salami Sweet, Genoa Salami Hot, Mild Genova Salami",Salmonella,Processed,2025-06-10,2025-06-20 15:13:01.237253
77572,Harriet Bee Wooden Height Adjustable Chair recalled due to due to entrapment and fall hazards,Consumer product safety,Harriet Bee Wooden Height Adjustable Chair,Entrapment hazard - Fall hazard,Household items,2025-06-10,2025-06-20 15:13:01.237253
